State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
SA ,6,967738,138249,2,40, I,McCARTY,Clare,9,6,825,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,41, I,TANITH,Mij,1,0,307,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,42, I,MONTGOMERY,Sandy,0,0,348,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,43, J,MASON,Andrea,81,56,38244,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,44, J,BATES,Tony,5,3,155,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,45, J,TURNBULL,Toni,3,2,221,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,46, K,VENUS,John,21,14,3779,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,47, K,SIPPO,Julie,0,0,39,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,48, K,WILLCOURT,Ian,5,3,42,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,49, L,McLAREN,John,31,21,22413,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,50, L,RUSSELL,Ruth,3,2,179,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,51, L,FRANKS,Tammy,1,0,152,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,52, L,SCOTT,Jenny,3,2,399,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,53, M,YENGI,Ben,2,1,875,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,54, M,HUTTON,Alan,0,0,16,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,55, N,McSHANE,Nicholas,9,6,3732,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,56, N,KAY,Jarrad,1,0,45,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,57, O,HUNT,Rita,5,3,2785,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,58, O,BARONS,Rachael,0,0,18,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,59, P,HAHNHEUSER,Ralph,0,0,834,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,60, P,LANG,Benno,0,0,55,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,61,UG,ARMOUR,Richard,3,2,439,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,62,UG,LAWRIE,John,0,0,126,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,63,UG,LUTZ,Richard,1,0,115,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,1001,  ,Exhausted,,9,6,6,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,1002,  ,Gain/Loss,,0,15,15,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,3,17, A,KLOTZ,Rolf,10,5,1870,0.59407894157337,, ,0,""
SA ,6,967738,138249,3,18, A,SMITH,Mark,0,0,38,0,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,19, A,MUNRO,Robyn,0,0,25,0,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,20, A,MAY,Ivan,0,0,30,0,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,21, B,WINTHER,Kane,0,0,356,0,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,22, B,WINTHER,Claire,1,0,46,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
SA ,6,967738,138249,3,23, C,STANKO,Andrew,2,1,639,0.59407894157337,, ,0,"VANSTONE, A has 181520 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.39656826. 457727 papers are involved from count number(s) 1, 2"
