State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
WA ,6,1128155,161166,3,24, D,EVANS,Chris,-365661,-204495,161166,0.55924749973336,Elected, ,2,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,25, D,STERLE,Glenn,364601,203902,204481,0.55924749973336,Elected,#,4,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,26, D,BARZOTTO,Emiliano,249,139,754,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,27, E,TAYLOR,Brian,47,26,1742,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,28, E,DIXON,Geoff,7,3,53,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,29, F,LUPI,Mary,79,44,5212,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,30, F,KEARSLEY,Lyn,14,7,97,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,31, G,DUNJEY,Lachlan,28,15,21076,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,32, G,WATT,Peter,7,3,95,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,33, G,GAGE,Norman,3,1,105,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,34, H,GILL,Geoff,18,10,9624,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
