2022 Federal Election Senate First Preferences By Polling Place for Division 138 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:26 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,138,Page,2049,Bentley,J,37478,1,"JONES, Ross",Federal ICAC Now,0
NSW,138,Page,2049,Bentley,J,37489,2,"ANDERSON, Gabrielle",Federal ICAC Now,0
NSW,138,Page,2049,Bentley,K,37977,0,K Above-the-line Votes,Australian Democrats,0
NSW,138,Page,2049,Bentley,K,37392,1,"BATY, Steven James",Australian Democrats,0
NSW,138,Page,2049,Bentley,K,37403,2,"ROGERS, Suzanne",Australian Democrats,0
NSW,138,Page,2049,Bentley,K,37404,3,"RICHARDS, Craig Edward",Australian Democrats,0
NSW,138,Page,2049,Bentley,L,37975,0,L Above-the-line Votes,Indigenous - Aboriginal Party of Australia,0
NSW,138,Page,2049,Bentley,L,36755,1,"WHYMAN, Owen Douglas",Indigenous - Aboriginal Party of Australia,0
NSW,138,Page,2049,Bentley,L,36766,2,"BROOKE, Lawrence John",Indigenous - Aboriginal Party of Australia,0
NSW,138,Page,2049,Bentley,M,37980,0,M Above-the-line Votes,"Shooters, Fishers and Farmers Party",7
NSW,138,Page,2049,Bentley,M,37505,1,"DJURIC, Shane","Shooters, Fishers and Farmers Party",0
NSW,138,Page,2049,Bentley,M,37509,2,"GREGORY, Desiree J","Shooters, Fishers and Farmers Party",0
NSW,138,Page,2049,Bentley,M,37511,3,"MILGATE, Brian","Shooters, Fishers and Farmers Party",0
NSW,138,Page,2049,Bentley,M,37513,4,"CROOKS, Jeremy","Shooters, Fishers and Farmers Party",0
NSW,138,Page,2049,Bentley,N,37973,0,N Above-the-line Votes,Seniors United Party of Australia,0
NSW,138,Page,2049,Bentley,N,36469,1,"KOCHER, Dessie",Seniors United Party of Australia,0
NSW,138,Page,2049,Bentley,N,36473,2,"BENNIE, Ray",Seniors United Party of Australia,0
